Datetime, Search terms, Website, Result number, Total results requested, ID number, Title, Date Submitted, Abstract, Downloaded?, FileNamePath, all_authors, all_locations, first_author, firstauthor_location, lastauthor, last_author_location, citations
072020-204633,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,96,200000,1908.09140v1,LANTERN: learn analysis transform network for dynamic magnetic resonance imaging with small dataset,8/24/19,"This paper proposes to learn analysis transform network for dynamic magnetic
resonance imaging (LANTERN) with small dataset. Integrating the strength of
CS-MRI and deep learning, the proposed framework is highlighted in three
components: (i) The spatial and temporal domains are sparsely constrained by
using adaptively trained CNN. (ii) We introduce an end-to-end framework to
learn the parameters in LANTERN to solve the difficulty of parameter selection
in traditional methods. (iii) Compared to existing deep learning reconstruction
methods, our reconstruction accuracy is better when the amount of data is
limited. Our model is able to fully exploit the redundancy in spatial and
temporal of dynamic MR images. We performed quantitative and qualitative
analysis of cardiac datasets at different acceleration factors (2x-11x) and
different undersampling modes. In comparison with state-of-the-art methods,
extensive experiments show that our method achieves consistent better
reconstruction performance on the MRI reconstruction in terms of three
quantitative metrics (PSNR, SSIM and HFEN) under different undersamling
patterns and acceleration factors.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.09140v1.pdf,Shanshan Wang; Yanxia Chen; Taohui Xiao; Ziwen Ke; Qiegen Liu; Hairong Zheng,,Shanshan Wang,,Hairong Zheng,,
072020-204612,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,90,200000,1908.08004v1,Pixel-wise Segmentation of Right Ventricle of Heart,8/21/19,"One of the first steps in the diagnosis of most cardiac diseases, such as
pulmonary hypertension, coronary heart disease is the segmentation of
ventricles from cardiac magnetic resonance (MRI) images. Manual segmentation of
the right ventricle requires diligence and time, while its automated
segmentation is challenging due to shape variations and illdefined borders. We
propose a deep learning based method for the accurate segmentation of right
ventricle, which does not require post-processing and yet it achieves the
state-of-the-art performance of 0.86 Dice coefficient and 6.73 mm Hausdorff
distance on RVSC-MICCAI 2012 dataset. We use a novel adaptive cost function to
counter extreme class-imbalance in the dataset. We present a comprehensive
comparative study of loss functions, architectures, and ensembling techniques
to build a principled approach for biomedical segmentation tasks.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.08004v1.pdf,Yaman Dang; Deepak Anand; Amit Sethi,,Yaman Dang,,Amit Sethi,,
072020-210202,"""machine learning"" OR ""deep learning"" AND cardiovascular",Arxiv,31,200000,1908.06553v1,LabelECG: A Web-based Tool for Distributed Electrocardiogram Annotation,8/19/19,"Electrocardiography plays an essential role in diagnosing and screening
cardiovascular diseases in daily healthcare. Deep neural networks have shown
the potentials to improve the accuracies of arrhythmia detection based on
electrocardiograms (ECGs). However, more ECG records with ground truth are
needed to promote the development and progression of deep learning techniques
in automatic ECG analysis. Here we propose a web-based tool for ECG viewing and
annotating, LabelECG. With the facilitation of unified data management,
LabelECG is able to distribute large cohorts of ECGs to dozens of technicians
and physicians, who can simultaneously make annotations through web-browsers on
PCs, tablets and cell phones. Along with the doctors from four hospitals in
China, we applied LabelECG to support the annotations of about 15,000 12-lead
resting ECG records in three months. These annotated ECGs have successfully
supported the First China ECG intelligent Competition. La-belECG will be freely
accessible on the Internet to support similar researches, and will also be
upgraded through future works.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.06553v1.pdf,Zijian Ding; Shan Qiu; Yutong Guo; Jianping Lin; Li Sun; Dapeng Fu; Zhen Yang; Chengquan Li; Yang Yu; Long Meng; Tingting Lv; Dan Li; Ping Zhang,,Zijian Ding,,Ping Zhang,,
072020-204202,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,42,200000,1908.06498v1,Weakly Supervised Segmentation by A Deep Geodesic Prior,8/18/19,"The performance of the state-of-the-art image segmentation methods heavily
relies on the high-quality annotations, which are not easily affordable,
particularly for medical data. To alleviate this limitation, in this study, we
propose a weakly supervised image segmentation method based on a deep geodesic
prior. We hypothesize that integration of this prior information can reduce the
adverse effects of weak labels in segmentation accuracy. Our proposed algorithm
is based on a prior information, extracted from an auto-encoder, trained to map
objects geodesic maps to their corresponding binary maps. The obtained
information is then used as an extra term in the loss function of the
segmentor. In order to show efficacy of the proposed strategy, we have
experimented segmentation of cardiac substructures with clean and two levels of
noisy labels (L1, L2). Our experiments showed that the proposed algorithm
boosted the performance of baseline deep learning-based segmentation for both
clean and noisy labels by 4.4%, 4.6%(L1), and 6.3%(L2) in dice score,
respectively. We also showed that the proposed method was more robust in the
presence of high-level noise due to the existence of shape priors.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.06498v1.pdf,Aliasghar Mortazi; Naji Khosravan; Drew A. Torigian; Sila Kurugol; Ulas Bagci,,Aliasghar Mortazi,,Ulas Bagci,,
072020-204711,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,98,200000,1908.06948v2,Deep Learning for Segmentation using an Open Large-Scale Dataset in 2D Echocardiography,8/16/19,"Delineation of the cardiac structures from 2D echocardiographic images is a
common clinical task to establish a diagnosis. Over the past decades, the
automation of this task has been the subject of intense research. In this
paper, we evaluate how far the state-of-the-art encoder-decoder deep
convolutional neural network methods can go at assessing 2D echocardiographic
images, i.e segmenting cardiac structures as well as estimating clinical
indices, on a dataset especially designed to answer this objective. We
therefore introduce the Cardiac Acquisitions for Multi-structure Ultrasound
Segmentation (CAMUS) dataset, the largest publicly-available and
fully-annotated dataset for the purpose of echocardiographic assessment. The
dataset contains two and four-chamber acquisitions from 500 patients with
reference measurements from one cardiologist on the full dataset and from three
cardiologists on a fold of 50 patients. Results show that encoder-decoder based
architectures outperform state-of-the-art non-deep learning methods and
faithfully reproduce the expert analysis for the end-diastolic and end-systolic
left ventricular volumes, with a mean correlation of 0.95 and an absolute mean
error of 9.5 ml. Concerning the ejection fraction of the left ventricle,
results are more contrasted with a mean correlation coefficient of 0.80 and an
absolute mean error of 5.6 %. Although these results are below the
inter-observer scores, they remain slightly worse than the intra-observer's
ones. Based on this observation, areas for improvement are defined, which open
the door for accurate and fully-automatic analysis of 2D echocardiographic
images.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.06948v2.pdf,Sarah Leclerc; Erik Smistad; João Pedrosa; Andreas Østvik; Frederic Cervenansky; Florian Espinosa; Torvald Espeland; Erik Andreas Rye Berg; Pierre-Marc Jodoin; Thomas Grenier; Carole Lartizien; Jan D'hooge; Lasse Lovstakken; Olivier Bernard,,Sarah Leclerc,,Olivier Bernard,,
072020-204013,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,14,200000,1908.06802v1,Diagnosing Cardiac Abnormalities from 12-Lead Electrocardiograms Using Enhanced Deep Convolutional Neural Networks,8/15/19,"We train an enhanced deep convolutional neural network in order to identify
eight cardiac abnormalities from the standard 12-lead electrocardiograms (ECGs)
using the dataset of 14000 ECGs. Instead of straightforwardly applying an
end-to-end deep learning approach, we find that deep convolutional neural
networks enhanced with sophisticated hand crafted features show advantages in
reducing generalization errors. Additionally, data preprocessing and
augmentation are essential since the distribution of eight cardiac
abnormalities are highly biased in the given dataset. Our approach achieves
promising generalization performance in the First China ECG Intelligent
Competition; an empirical evaluation is also provided to validate the efficacy
of our design on the competition ECG dataset.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.06802v1.pdf,Binhang Yuan; Wenhui Xing,,Binhang Yuan,,Wenhui Xing,,
072020-204344,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,60,200000,1908.05782v1,"MimickNet, Matching Clinical Post-Processing Under Realistic Black-Box Constraints",8/15/19,"Image post-processing is used in clinical-grade ultrasound scanners to
improve image quality (e.g., reduce speckle noise and enhance contrast). These
post-processing techniques vary across manufacturers and are generally kept
proprietary, which presents a challenge for researchers looking to match
current clinical-grade workflows. We introduce a deep learning framework,
MimickNet, that transforms raw conventional delay-and-summed (DAS) beams into
the approximate post-processed images found on clinical-grade scanners.
Training MimickNet only requires post-processed image samples from a scanner of
interest without the need for explicit pairing to raw DAS data. This
flexibility allows it to hypothetically approximate any manufacturer's
post-processing without access to the pre-processed data. MimickNet generates
images with an average similarity index measurement (SSIM) of 0.930$\pm$0.0892
on a 300 cineloop test set, and it generalizes to cardiac cineloops outside of
our train-test distribution achieving an SSIM of 0.967$\pm$0.002. We also
explore the theoretical SSIM achievable by evaluating MimickNet performance
when trained under gray-box constraints (i.e., when both pre-processed and
post-processed images are available). To our knowledge, this is the first work
to establish deep learning models that closely approximate current
clinical-grade ultrasound post-processing under realistic black-box constraints
where before and after post-processing data is unavailable. MimickNet serves as
a clinical post-processing baseline for future works in ultrasound image
formation to compare against. To this end, we have made the MimickNet software
open source.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.05782v1.pdf,Ouwen Huang; Will Long; Nick Bottenus; Gregg E. Trahey; Sina Farsiu; Mark L. Palmeri,,Ouwen Huang,,Mark L. Palmeri,,
072020-203921,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,1,200000,1908.04538v1,Assessing the Impact of Blood Pressure on Cardiac Function Using Interpretable Biomarkers and Variational Autoencoders,8/13/19,"Maintaining good cardiac function for as long as possible is a major concern
for healthcare systems worldwide and there is much interest in learning more
about the impact of different risk factors on cardiac health. The aim of this
study is to analyze the impact of systolic blood pressure (SBP) on cardiac
function while preserving the interpretability of the model using known
clinical biomarkers in a large cohort of the UK Biobank population. We propose
a novel framework that combines deep learning based estimation of interpretable
clinical biomarkers from cardiac cine MR data with a variational autoencoder
(VAE). The VAE architecture integrates a regression loss in the latent space,
which enables the progression of cardiac health with SBP to be learnt. Results
on 3,600 subjects from the UK Biobank show that the proposed model allows us to
gain important insight into the deterioration of cardiac function with
increasing SBP, identify key interpretable factors involved in this process,
and lastly exploit the model to understand patterns of positive and adverse
adaptation of cardiac function.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.04538v1.pdf,Esther Puyol-Antón; Bram Ruijsink; James R. Clough; Ilkay Oksuz; Daniel Rueckert; Reza Razavi; Andrew P. King,,Esther Puyol-Antón,,Andrew P. King,,
072020-204858,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,115,200000,1908.06857v1,K-margin-based Residual-Convolution-Recurrent Neural Network for Atrial Fibrillation Detection,8/9/19,"Atrial Fibrillation (AF) is an abnormal heart rhythm which can trigger
cardiac arrest and sudden death. Nevertheless, its interpretation is mostly
done by medical experts due to high error rates of computerized interpretation.
One study found that only about 66% of AF were correctly recognized from noisy
ECGs. This is in part due to insufficient training data, class skewness, as
well as semantical ambiguities caused by noisy segments in an ECG record. In
this paper, we propose a K-margin-based Residual-Convolution-Recurrent neural
network (K-margin-based RCR-net) for AF detection from noisy ECGs. In detail, a
skewness-driven dynamic augmentation method is employed to handle the problems
of data inadequacy and class imbalance. A novel RCR-net is proposed to
automatically extract both long-term rhythm-level and local heartbeat-level
characters. Finally, we present a K-margin-based diagnosis model to
automatically focus on the most important parts of an ECG record and handle
noise by naturally exploiting expected consistency among the segments
associated for each record. The experimental results demonstrate that the
proposed method with 0.8125 F1NAOP score outperforms all state-of-the-art deep
learning methods for AF detection task by 6.8%.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.06857v1.pdf,Yuxi Zhou; Shenda Hong; Junyuan Shang; Meng Wu; Qingyun Wang; Hongyan Li; Junqing Xie,,Yuxi Zhou,,Junqing Xie,,
072020-205957,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,137,200000,1908.02924v1,Bayesian Feature Pyramid Networks for Automatic Multi-Label Segmentation of Chest X-rays and Assessment of Cardio-Thoratic Ratio,8/8/19,"Cardiothoratic ratio (CTR) estimated from chest radiographs is a marker
indicative of cardiomegaly, the presence of which is in the criteria for heart
failure diagnosis. Existing methods for automatic assessment of CTR are driven
by Deep Learning-based segmentation. However, these techniques produce only
point estimates of CTR but clinical decision making typically assumes the
uncertainty. In this paper, we propose a novel method for chest X-ray
segmentation and CTR assessment in an automatic manner. In contrast to the
previous art, we, for the first time, propose to estimate CTR with uncertainty
bounds. Our method is based on Deep Convolutional Neural Network with Feature
Pyramid Network (FPN) decoder. We propose two modifications of FPN: replace the
batch normalization with instance normalization and inject the dropout which
allows to obtain the Monte-Carlo estimates of the segmentation maps at test
time. Finally, using the predicted segmentation mask samples, we estimate CTR
with uncertainty. In our experiments we demonstrate that the proposed method
generalizes well to three different test sets. Finally, we make the annotations
produced by two radiologists for all our datasets publicly available.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.02924v1.pdf,Roman Solovyev; Iaroslav Melekhov; Timo Lesonen; Elias Vaattovaara; Osmo Tervonen; Aleksei Tiulpin,,Roman Solovyev,,Aleksei Tiulpin,,
072020-204629,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,95,200000,1908.02994v1,Deep Learning Segmentation in 2D echocardiography using the CAMUS dataset : Automatic Assessment of the Anatomical Shape Validity,8/8/19,"We recently published a deep learning study on the potential of
encoder-decoder networks for the segmentation of the 2D CAMUS ultrasound
dataset. We propose in this abstract an extension of the evaluation criteria to
anatomical assessment, as traditional geometric and clinical metrics in cardiac
segmentation do not take into account the anatomical correctness of the
predicted shapes. The completed study sheds a new light on the ranking of
models.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.02994v1.pdf,Sarah Leclerc; Erik Smistad; Andreas Østvik; Frederic Cervenansky; Florian Espinosa; Torvald Espeland; Erik Andreas Rye Berg; Pierre-Marc Jodoin; Thomas Grenier; Carole Lartizien; Lasse Lovstakken; Olivier Bernard,,Sarah Leclerc,,Olivier Bernard,,
072020-205910,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,129,200000,1908.00360v3,A Method of Rapid Quantification of Patient-Specific Organ Dose for CT Using Coupled Deep-Learning based Multi-Organ Segmentation and GPU-accelerated Monte Carlo Dose Computing,8/1/19,"Purpose: This paper describes a new method to apply deep-learning algorithms
for automatic segmentation of radiosensitive organs from 3D tomographic CT
images before computing organ doses using a GPU-based Monte Carlo code.
Methods: A deep convolutional neural network (CNN) for organ segmentation is
trained to automatically delineate radiosensitive organs from CT. With a
GPU-based Monte Carlo dose engine (ARCHER) to derive CT dose of a phantom made
from a subject's CT scan, we are then able to compute the patient-specific CT
dose for each of the segmented organs. The developed tool is validated by using
Relative Dose Error (RDE) against the organ doses calculated by ARCHER with
manual segmentation performed by radiologists. The dose computation results are
also compared against organ doses from population-average phantoms to
demonstrate the improvement achieved by using the developed tool. In this
study, two datasets were used: The Lung CT Segmentation Challenge 2017 (LCTSC)
dataset, which contains 60 thoracic CT scan patients each with 5 segmented
organs, and the Pancreas-CT (PCT) dataset, which contains 43 abdominal CT scan
patients each with 8 segmented organs. Five-fold cross-validation of the new
method is performed on both datasets. Results: Comparing with the traditional
organ dose evaluation method that based on population-average phantom, our
proposed method achieved the smaller RDE range on all organs with -4.3%~1.5% vs
-31.5%~33.9% (lung), -7.0%~2.3% vs -15.2%~125.1% (heart), -18.8%~40.2% vs
-10.3%~124.1% (esophagus) in the LCTSC dataset and -5.6%~1.6% vs -20.3%~57.4%
(spleen), -4.5%~4.6% vs -19.5%~61.0% (pancreas), -2.3%~4.4% vs -37.8%~75.8%
(left kidney), -14.9%~5.4% vs -39.9% ~14.6% (gall bladder), -0.9%~1.6% vs
-30.1%~72.5% (liver), and -23.0%~11.1% vs -52.5%~-1.3% (stomach) in the PCT
dataset.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1908.00360v3.pdf,Zhao Peng; Xi Fang; Pingkun Yan; Hongming Shan; Tianyu Liu; Xi Pei; Ge Wang; Bob Liu; Mannudeep K. Kalra; X. George Xu,,Zhao Peng,,X. George Xu,,
072020-205745,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,100,200000,1907.12244v1,A Fine-Grain Error Map Prediction and Segmentation Quality Assessment Framework for Whole-Heart Segmentation,7/29/19,"When introducing advanced image computing algorithms, e.g., whole-heart
segmentation, into clinical practice, a common suspicion is how reliable the
automatically computed results are. In fact, it is important to find out the
failure cases and identify the misclassified pixels so that they can be
excluded or corrected for the subsequent analysis or diagnosis. However, it is
not a trivial problem to predict the errors in a segmentation mask when ground
truth (usually annotated by experts) is absent. In this work, we attempt to
address the pixel-wise error map prediction problem and the per-case mask
quality assessment problem using a unified deep learning (DL) framework.
Specifically, we first formalize an error map prediction problem, then we
convert it to a segmentation problem and build a DL network to tackle it. We
also derive a quality indicator (QI) from a predicted error map to measure the
overall quality of a segmentation mask. To evaluate the proposed framework, we
perform extensive experiments on a public whole-heart segmentation dataset,
i.e., MICCAI 2017 MMWHS. By 5-fold cross validation, we obtain an overall Dice
score of 0.626 for the error map prediction task, and observe a high Pearson
correlation coefficient (PCC) of 0.972 between QI and the actual segmentation
accuracy (Acc), as well as a low mean absolute error (MAE) of 0.0048 between
them, which evidences the efficacy of our method in both error map prediction
and quality assessment.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.12244v1.pdf,Rongzhao Zhang; Albert C. S. Chung,,Rongzhao Zhang,,Albert C. S. Chung,,
072020-204416,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,67,200000,1907.12454v1,Robust reconstruction of cardiac T1 maps using RNNs,7/29/19,"Cardiac magnetic resonance parametric T1 maps are typically reconstructed
using non-linear fitting. However this method has limitations due to the high
computational cost and robustness. In this study, a recurrent neural network
(RNN) is proposed for the robust and fast reconstruction of cardiac T1 maps.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.12454v1.pdf,Nicola Martini; Alessio Vatti; Andrea Ripoli; Sara Salaris; Gianmarco Santini; Maria Filomena Santarelli; Dante Chiappino; Daniele Della Latta,,Nicola Martini,,Daniele Della Latta,,
072020-205105,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,134,200000,1907.11944v1,Low dose SPECT image denoising using a generative adversarial network,7/27/19,"The image noise level and resolution of SPECT images are relatively poor
attributed to the limited number of detected counts and various physical
degradation factors during acquisitions. This study aims to apply and evaluate
the use of generative adversarial network (GAN) method in static SPECT image
denoising. A population of 4D extended cardiac-torso (XCAT) phantoms were used
to simulate 10 male and female patients with different organ sizes and activity
uptakes. An analytical projector was applied to simulate 120 projections from
right anterior oblique to left posterior oblique positions with two noise
levels. The first noise level was based on a standard clinical count rate of
987 MBq injection and 16 min acquisition (low noise) while the other was 1/8 of
the previous count rate (high noise). The high noise and low noise SPECT
reconstructed images of 9 patients, i.e., 1026 images (9*114 axial slices)
respectively, were paired for training. High noise SPECT images of 1 patient
were tested using the trained GAN. The noise level is substantially reduced in
high noise SPECT reconstructed images after using the GAN. Our method has the
potential to decrease the noise level of SPECT images, which could be traded
for a reduced injection dose or acquisition time while still maintaining the
similar image quality as compared to the original low noise images for clinical
diagnosis.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.11944v1.pdf,Qi Zhang; Jingzhang Sun; Greta S. P. Mok,,Qi Zhang,,Greta S. P. Mok,,
072020-205730,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,95,200000,1907.11921v1,Remote Heart Rate Measurement from Highly Compressed Facial Videos: an End-to-end Deep Learning Solution with Video Enhancement,7/27/19,"Remote photoplethysmography (rPPG), which aims at measuring heart activities
without any contact, has great potential in many applications (e.g., remote
healthcare). Existing rPPG approaches rely on analyzing very fine details of
facial videos, which are prone to be affected by video compression. Here we
propose a two-stage, end-to-end method using hidden rPPG information
enhancement and attention networks, which is the first attempt to counter video
compression loss and recover rPPG signals from highly compressed videos. The
method includes two parts: 1) a Spatio-Temporal Video Enhancement Network
(STVEN) for video enhancement, and 2) an rPPG network (rPPGNet) for rPPG signal
recovery. The rPPGNet can work on its own for robust rPPG measurement, and the
STVEN network can be added and jointly trained to further boost the performance
especially on highly compressed videos. Comprehensive experiments are performed
on two benchmark datasets to show that, 1) the proposed method not only
achieves superior performance on compressed videos with high-quality videos
pair, 2) it also generalizes well on novel data with only compressed videos
available, which implies the promising potential for real world applications.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.11921v1.pdf,Zitong Yu; Wei Peng; Xiaobai Li; Xiaopeng Hong; Guoying Zhao,,Zitong Yu,,Guoying Zhao,,
072020-204844,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,114,200000,1907.11483v1,Annotation-Free Cardiac Vessel Segmentation via Knowledge Transfer from Retinal Images,7/26/19,"Segmenting coronary arteries is challenging, as classic unsupervised methods
fail to produce satisfactory results and modern supervised learning (deep
learning) requires manual annotation which is often time-consuming and can some
time be infeasible. To solve this problem, we propose a knowledge transfer
based shape-consistent generative adversarial network (SC-GAN), which is an
annotation-free approach that uses the knowledge from publicly available
annotated fundus dataset to segment coronary arteries. The proposed network is
trained in an end-to-end fashion, generating and segmenting synthetic images
that maintain the background of coronary angiography and preserve the vascular
structures of retinal vessels and coronary arteries. We train and evaluate the
proposed model on a dataset of 1092 digital subtraction angiography images, and
experiments demonstrate the supreme accuracy of the proposed method on coronary
arteries segmentation.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.11483v1.pdf,Fei Yu; Jie Zhao; Yanjun Gong; Zhi Wang; Yuxi Li; Fan Yang; Bin Dong; Quanzheng Li; Li Zhang,,Fei Yu,,Li Zhang,,
072020-204302,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,50,200000,1907.10267v1,Discriminative Consistent Domain Generation for Semi-supervised Learning,7/24/19,"Deep learning based task systems normally rely on a large amount of manually
labeled training data, which is expensive to obtain and subject to operator
variations. Moreover, it does not always hold that the manually labeled data
and the unlabeled data are sitting in the same distribution. In this paper, we
alleviate these problems by proposing a discriminative consistent domain
generation (DCDG) approach to achieve a semi-supervised learning. The
discriminative consistent domain is achieved by a double-sided domain
adaptation. The double-sided domain adaptation aims to make a fusion of the
feature spaces of labeled data and unlabeled data. In this way, we can fit the
differences of various distributions between labeled data and unlabeled data.
In order to keep the discriminativeness of generated consistent domain for the
task learning, we apply an indirect learning for the double-sided domain
adaptation. Based on the generated discriminative consistent domain, we can use
the unlabeled data to learn the task model along with the labeled data via a
consistent image generation. We demonstrate the performance of our proposed
DCDG on the late gadolinium enhancement cardiac MRI (LGE-CMRI) images acquired
from patients with atrial fibrillation in two clinical centers for the
segmentation of the left atrium anatomy (LA) and proximal pulmonary veins
(PVs). The experiments show that our semi-supervised approach achieves
compelling segmentation results, which can prove the robustness of DCDG for the
semi-supervised learning using the unlabeled data along with labeled data
acquired from a single center or multicenter studies.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.10267v1.pdf,Jun Chen; Heye Zhang; Yanping Zhang; Shu Zhao; Raad Mohiaddin; Tom Wong; David Firmin; Guang Yang; Jennifer Keegan,,Jun Chen,,Jennifer Keegan,,
072020-205216,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,8,200000,1907.11649v1,HeartFit: An Accurate Platform for Heart Murmur Diagnosis Utilizing Deep Learning,7/24/19,"Cardiovascular disease (CD) is the number one leading cause of death
worldwide, accounting for more than 17 million deaths in 2015. Critical
indicators of CD include heart murmurs, intense sounds emitted by the heart
during periods of irregular blood flow. Current diagnosis of heart murmurs
relies on echocardiography (ECHO), which costs thousands of dollars and medical
professionals to analyze the results, making it very unsuitable for areas with
inadequate medical facilities. Thus, there is a need for an accessible
alternative. Based on a simple interface and deep learning, HeartFit allows
users to administer diagnoses themselves. An inexpensive, custom designed
stethoscope in conjunction with a mobile application allows users to record and
upload audio of their heart to a database. Using a deep learning network
architecture, the database classifies the audio and returns the diagnosis to
the user. The model consists of a deep recurrent convolutional neural network
trained on 300 prelabeled heartbeat audio samples. After the model was
validated on a previously unseen set of 100 heartbeat audio samples, it
achieved a f beta score of 0.9545 and an accuracy of 95.5 percent. This value
exceeds that of clinical examination accuracy, which is around 83 percent to 91
percent and costs orders of magnitude less than ECHO, demonstrating the
effectiveness of the HeartFit platform. Through the platform, users can obtain
immediate, accurate diagnosis of heart murmurs without any professional medical
assistance, revolutionizing how we combat CD.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.11649v1.pdf,Ankit Gupta; George Tang; Sylesh Suresh,,Ankit Gupta,,Sylesh Suresh,,
072020-204840,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,113,200000,1907.09425v1,k-t NEXT: Dynamic MR Image Reconstruction Exploiting Spatio-temporal Correlations,7/22/19,"Dynamic magnetic resonance imaging (MRI) exhibits high correlations in
k-space and time. In order to accelerate the dynamic MR imaging and to exploit
k-t correlations from highly undersampled data, here we propose a novel deep
learning based approach for dynamic MR image reconstruction, termed k-t NEXT
(k-t NEtwork with X-f Transform). In particular, inspired by traditional
methods such as k-t BLAST and k-t FOCUSS, we propose to reconstruct the true
signals from aliased signals in x-f domain to exploit the spatio-temporal
redundancies. Building on that, the proposed method then learns to recover the
signals by alternating the reconstruction process between the x-f space and
image space in an iterative fashion. This enables the network to effectively
capture useful information and jointly exploit spatio-temporal correlations
from both complementary domains. Experiments conducted on highly undersampled
short-axis cardiac cine MRI scans demonstrate that our proposed method
outperforms the current state-of-the-art dynamic MR reconstruction approaches
both quantitatively and qualitatively.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.09425v1.pdf,Chen Qin; Jo Schlemper; Jinming Duan; Gavin Seegoolam; Anthony Price; Joseph Hajnal; Daniel Rueckert,,Chen Qin,,Daniel Rueckert,,
072020-205103,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,133,200000,1907.05062v1,FIRE: Unsupervised bi-directional inter-modality registration using deep networks,7/11/19,"Inter-modality image registration is an critical preprocessing step for many
applications within the routine clinical pathway. This paper presents an
unsupervised deep inter-modality registration network that can learn the
optimal affine and non-rigid transformations simultaneously.
Inverse-consistency is an important property commonly ignored in recent deep
learning based inter-modality registration algorithms. We address this issue
through the proposed multi-task architecture and the new comprehensive
transformation network. Specifically, the proposed model learns a
modality-independent latent representation to perform cycle-consistent
cross-modality synthesis, and use an inverse-consistent loss to learn a pair of
transformations to align the synthesized image with the target. We name this
proposed framework as FIRE due to the shape of its structure. Our method shows
comparable and better performances with the popular baseline method in
experiments on multi-sequence brain MR data and intra-modality 4D cardiac
Cine-MR data.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/1907.05062v1.pdf,Chengjia Wang; Giorgos Papanastasiou; Agisilaos Chartsias; Grzegorz Jacenkow; Sotirios A. Tsaftaris; Heye Zhang,,Chengjia Wang,,Heye Zhang,,
